add,co,medical,name,order,phone,rating,star,title
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-426-2420,(770),4.3,"Catalyst - Cherry, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 612-1656,(321),4.8,"The Corner LBC, "
"Bellflower,, ,California",,Medical & recreational,Storefront,Order online (pickup),(888) 688-0303,(530),4.7,"DELI by Caliva, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 528-8810,(693),4.6,"MMD Long Beach, "
"Bellflower,, ,California",,Recreational,Storefront,Order online (pickup),855-869-6337,"(1,172)",4.8,"The Medicine Woman - Bellflower, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 320-8778,(162),4.2,"HAVEN Cannabis Dispensary - Downtown Long Beach, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),5623361373,(86),4.5,"Catalyst - Downtown Long Beach (DTLB), "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-676-4014,"(1,141)",4.7,"Stone Age Farmacy LB - Recreational, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 337-8484,(303),4.6,"Flight On Cherry, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562)470-7227,"(1,031)",4.8,"Backpack Boyz Long Beach, "
"Bellflower,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-804-0629,(558),4.5,"Catalyst - Bellflower, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 676-4241,"(1,615)",4.9,"Chronic Long Beach, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 422-0011,(706),4.7,"LB Collective, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),(562) 606-2700,(522),4.5,"KUSHAGRAM Long Beach, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-528-8724,(333),4.5,"The Station, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-676-4079,(175),4.8,"The Mericana, "
"Mira Loma,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-444-6144,"(1,751)",4.8,"Culture Cannabis Club - Jurupa Valley, "
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-543-0102,(956),4.7,"Leaf and Lion, "
,,,,,,,,
"Long Beach,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-320-8779,(185),4.1,"HAVEN Cannabis Dispensary - Paramount, "
"Lake Elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),800-466-6420,(794),4.5,"Medcare Farms, "
,,,,,,,,
"Pomona,, ,California",,Medical & recreational,Storefront,Order online (pickup),909-620-9020,(478),4.7,"Catalyst - Pomona, "
"lake elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),9516741420,(461),5.0,"R2H Dispensary, "
"Lake Elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-470-3397,"(2,448)",4.9,"Mr. Nice Guy, "
"Lake Elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-501-0479,"(1,110)",5.0,"Marketplace, "
"Lake Elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-471-8555,(293),4.6,"The Healing Tree, "
"Wilmington,, ,California",,Medical & recreational,Storefront,Order online (pickup),(310) 518-3582,"(1,112)",4.6,"Delta 9 THC 21+, "
"Riverside,, ,California",,Recreational,Storefront,Order online (pickup),951-416-7006,"(6,457)",4.8,"Empire Twin Palms, "
"El monte,, ,California",,Medical & recreational,Storefront,Order online (pickup),626-522-0075,(197),4.6,"Catalyst - El Monte, "
,,,,,,,,
"Jurupa Valley,, ,California",,Recreational,Storefront,Order online (pickup),951-332-6056,"(1,989)",4.8,"Remedy Room, "
,,,,,,,,
,,,,,,,,
"Lake Elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-471-8310,(116),5.0,"Gelato Retail, "
,,,,,,,,
"Lake Elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),9512979300,(434),4.8,"Lemonnade, "
"San Pedro,, ,California",,Medical & recreational,Storefront,Order online (pickup),310-935-2600,(18),4.9,"Stone Age Farmacy, "
"Lake Elsinore,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-357-0701,(141),4.9,"EMBR - Lake Elsinore, "
"El Monte,, ,California",,Medical & recreational,Storefront,Order online (pickup),(626)416-5152,(182),4.9,"Tradecraft Farms El Monte, "
,,,,,,,,
"Maywood,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-886-4420,"(2,038)",4.7,"OG NATION, "
"Harbor City,, ,California",,Medical & recreational,Storefront,Order online (pickup),424-305-4416,"(1,246)",4.6,"Cana Harbor Powered by Green Earth Pharmacy Inc, "
"El Monte,, ,California",,Medical & recreational,Storefront,Order online (pickup),626-406-4822,(904),4.9,"PACKS SGV, "
"Lomita,, ,California",,Medical & recreational,Storefront,Order online (pickup),310-504-2700,(421),4.4,"EVOLV Cannabis, "
"Torrance,, ,California",,Medical & recreational,Storefront,Order online (pickup),310-891-2223,"(1,953)",4.8,"Paris Cannabis Co., "
"Torrance,, ,California",,Medical & recreational,Storefront,Order online (pickup),424-378-1316,(831),4.7,"Jaderoom Torrance, "
"Maywood,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-484-0013,"(2,066)",4.8,"Firehouse 365, "
"Jurupa Valley,, ,California",,Recreational,Storefront,Order online (pickup),951-790-1135,(781),4.6,"The Green Chamber, "
,,,,,,,,
"Lomita,, ,California",,Medical & recreational,Storefront,Order online (pickup),(424) 305-4434,"(4,889)",4.9,"South Bay Canna Clinic, "
,,,,,,,,
"Maywood,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 749-0013,(342),4.3,"HAVEN Cannabis Dispensary - Maywood, "
"Gardena,, ,California",,Recreational,Storefront,Order online (pickup),310-821-4420,"(1,257)",4.7,"Liberty Beach Center, "
"Torrance,, ,California",,Medical & recreational,Storefront,Order online (pickup),310-533-9363,"(7,261)",4.9,"Green Cross of Torrance, "
"Gardena,, ,California",,Medical & recreational,Storefront,Order online (pickup),(424)292-3940,"(4,849)",4.7,"The Drop LA, "
"Maywood,, ,California",,Medical & recreational,Storefront,Order online (pickup),310-593-9908,"(1,346)",4.3,"Cookies LA, "
"Wildomar,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-422-2253,(670),4.8,"The Cake House - Wildomar, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-455-0970,(124),4.8,"Elevate South Los Angeles, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-455-0000,(1),5.0,"SC Gardens, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3232692455,"(8,702)",4.7,"TLC Collective By Jungle Boys, "
"Huntington Park,, ,California",,Medical & recreational,Storefront,Order online (pickup),818-797-7165,(183),4.6,"The Syndicate - Huntington Park, "
,,,,,,,,
"Perris,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-550-0420,(362),4.6,"Treeo, "
"Perris,, ,California",,Medical & recreational,Storefront,Order online (pickup),9514738773,"(5,144)",4.8,"Strains Dispensary, "
"Perris,, ,California",,Medical & recreational,Storefront,Order online (pickup),(951) 443-5005,(66),4.9,"Goldn Bloom - Perris, "
"Perris,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-259-8696,(339),4.6,"WESTSiDE CLLCTV, "
"Perris,, ,California",,Medical & recreational,Storefront,Order online (pickup),(951) 490-0555,"(2,949)",4.8,"FireHouse 64, "
"LOS ANGELES,, ,California",,Medical & recreational,Storefront,Order online (pickup),3235094372,(485),4.9,"Hierba (Out-The-Door Prices), "
"Perris,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-262-8727,(242),4.8,"The Ten Co., "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3236857151,(107),4.2,"California Cannabis Soto, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-342-9110,"(3,981)",4.7,"Los Angeles Kush - LA Kush, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 696-9680,(965),4.7,"Originals Factory & Weed Shop, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 983-2247,(423),4.9,"Catalyst - Florence, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-973-1187,"(1,918)",4.8,"HHC Plus, "
"Perris,, ,California",,Medical & recreational,Storefront,Order online (pickup),(951) 490-0782,"(2,691)",4.8,"Empire Gardens - Perris, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3232657060,"(3,612)",4.7,"CCC by The Cure Company, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 441-2156,"(5,010)",4.9,"The High Note - East LA, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-275-1223,"(2,488)",4.9,"CHC - Cloud 8th DTLA, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(213)459-3460,"(2,074)",4.8,"Traditional - DTLA, "
"Riverside,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-900-5011,(252),4.8,"Plant Galaxy, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-305-2802,(16),4.3,"Catalyst - Normandie (NOW OPEN), "
"Los Angeles,, ,California",,Recreational,Storefront,Order online (pickup),(213) 275-1599,"(3,299)",4.7,"DTPG, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 325-7144,(27),4.7,"Greenwolf South LA, "
"LOS ANGELES,, ,California",,Medical & recreational,Storefront,Order online (pickup),2135147833,(430),5.0,"Puff Los Angeles, "
"Riverside,, ,California",,Medical & recreational,Storefront,Order online (pickup),(951) 405-4534,(156),4.5,"The Artist Tree Marijuana Dispensary & Weed Delivery Riverside, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3234322368,(229),5.0,"Highway DTLA (South LA), "
"LOS ANGELES,, ,California",,Medical & recreational,Storefront,Order online (pickup),2137550535,(291),4.9,"GOAT GLOBAL SOUTH LA, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-377-9420,(108),4.4,"Sweet Flower - Arts District, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-716-4683,(90),4.5,"Flower & Leaf, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(213) 613-1288,(669),4.8,"Coast to Coast Los Angeles, "
"Los Angeles,, ,California",,Recreational,Storefront,Order online (pickup),(323) 576-2153,"(1,751)",4.7,"SkyhighLA, "
"Moreno Valley,, ,California",,Recreational,Storefront,Order online (pickup),866-474-2646,"(1,370)",4.6,"Shango - Moreno Valley, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-678-1514,(61),4.7,"LA Fresh Farms - GRAND OPENING!, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3236969237,(80),4.9,"Verde Plus, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323)929-4201,"(5,855)",4.7,"STIIIZY DTLA, "
"Los Angeles,, ,California",,Recreational,Storefront,Order online (pickup),323-231-2795,"(1,561)",4.8,"New Age Care Center, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-686-4050,(568),5.0,"Euphoros, "
"Moreno Valley,, ,California",,Recreational,Storefront,Order online (pickup),951-800-8073,(430),4.6,"SipKoi, "
"Moreno Valley,, ,California",,Medical & recreational,Storefront,Order online (pickup),9512142448,(118),4.9,"Angel Organics *NOW DELIVERING*, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(213) 700-9196,"(2,755)",4.8,"Buddha Company - DTLA, "
"Pasadena,, ,California",,Medical & recreational,Storefront,Order online (pickup),626-469-8500,(129),4.3,"Varda - Dispensary, "
"MORENO VALLEY,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-247-0420,"(2,246)",4.9,"Culture Cannabis Club - Moreno Valley, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),2132751034,(19),4.8,"Green Qween, "
"Moreno Valley,, ,California",,Medical & recreational,Storefront,Order online (pickup),562-991-3030,(10),5.0,"Its 420 Time, "
"Moreno Valley,, ,California",,Medical & recreational,Storefront,Order online (pickup),951-501-0480,(641),4.9,"Mr. Nice Guy – Moreno Valley, "
"Moreno Valley,, ,California",,Recreational,Storefront,Order online (pickup),951-243-2700,(978),4.8,"Empire Gardens Moreno Valley, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(818) 651-7420,"(2,045)",4.6,"Dr Greenthumb DTLA, "
"Moreno Valley,, ,California",,Medical & recreational,Storefront,Order online (pickup),9512827533,(6),4.3,"The Treehouse, "
"Moreno Valley,, ,California",,Medical & recreational,Storefront,Order online (pickup),(951)-208-4657,(948),4.7,"Good Lyfe, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-778-8540,"(1,170)",4.8,"LA Cannabis Co - Inglewood, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 920-7558,(63),4.4,"The Cure Company - Crenshaw, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-920-4008,(154),4.8,"Exclusive Caregivers OF California, "
"Moreno Valley,, ,California",,Medical & recreational,Storefront,Order online (pickup),9514335400,(347),4.6,"Empire Moreno Valley, "
"LA,, ,California",,Medical & recreational,Storefront,Order online (pickup),(844) 685 4826,(911),4.8,"Lit Co, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-305-1466,(134),4.1,"California Cannabis Crenshaw, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3237924518,(15),4.6,"Josephine & Billie's, "
"Pasadena,, ,California",,Medical & recreational,Storefront,Order online (pickup),(626) 314-3106,(25),4.0,"Sweet Flower - Pasadena, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 739-6008,(32),5.0,"Nela Rd., "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-352-4108,(569),4.0,"House of Flowers, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-551-3333,(79),5.0,"LaLaLand, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(213)322-2224,(313),4.8,"Happy Green, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-277-1818,(15),4.9,"Foreign LA, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-632-8118,(109),4.4,"Trees Of Echo Park, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-733-3644,(963),4.6,"LA Cannabis Co - Los Angeles, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-903-6755,(385),4.9,"Gorilla RX, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),714-485-5571,(37),4.8,"Velvet Cannabis Dispensary Eagle Rock, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),424-222-5216,(92),4.8,"The High Note LAX, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-349-0949,"(1,594)",4.3,"Green Earth Collective, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-353-0100,"(3,329)",4.9,"CCA California Caregivers Alliance, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(424)227-8121,(160),4.5,"Dr Greenthumb LAX, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323)970-3707,(64),4.7,"Old G Kush, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(424) 290-8030,(335),3.8,"MedMen LAX, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-800-9733,(61),4.7,"ILLA Canna, "
"San Bernardino,, ,California",,Medical & recreational,Storefront,Order online (pickup),844-420-4283,(316),4.6,"HAVEN Cannabis Dispensary - San Bernardino, "
,,,,,,,,
"San Bernardino,, ,California",,Recreational,Storefront,Order online (pickup),909-572-0090,"(1,831)",4.8,"Empire Connect, "
"San Bernardino,, ,California",,Medical & recreational,Storefront,Order online (pickup),909-219-5042,(100),4.7,"Catalyst - San Bernardino, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-985-1815,(146),4.5,"The Artist Tree Marijuana Dispensary & Weed Delivery Los Angeles, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-522-3024,(497),4.5,"MOTA (Medicine Of The Angels), "
"Los Angeles,, ,California",,Recreational,Storefront,Order online (pickup),213-336-5533,(354),4.9,"Traditional - Mid City, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),818-359-4596,(54),4.8,"Bread Farms, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3232598933,(411),4.3,"Cornerstone Wellness, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3232973224,(169),4.1,"Royal Greens, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 466-6636,"(2,218)",4.8,"Mary Janes - Hollywood, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),(323) 272-4073,"(1,870)",4.9,"LA Cannabis Co - La Brea, "
,,,,,,,,
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3234529833,(595),4.7,"The Pottery, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-424-3908,"(1,140)",4.7,"La Brea Collective - LBC, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),213-493-4159,(541),4.6,"Backpack Boyz, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3235369212,(192),4.5,"California Cannabis Melrose, "
"Los Angeles,, ,California",,Recreational,Storefront,Order online (pickup),(323)871-9500,(761),4.4,"Natural Remedies Caregivers, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-272-3689,(116),4.8,"The Green Paradise, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),323-668-9390,"(1,606)",4.4,"GREENWOLF LA Pre ICO, "
"Los Angeles,, ,California",,Medical & recreational,Storefront,Order online (pickup),3104293789,"(2,187)",4.7,"LAXCC, "
,,,,,,,,
